trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
284,False,"{'a': 0.01, 'e': 0.05842566596450083}",35,24,7.90444515368784,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
285,False,"{'a': 0.01, 'e': 0.05784432087483846}",20,3,8.413161460986382,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
286,False,"{'a': 0.01, 'e': 0.05726876026546735}",20,13,13.795964174353015,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.01, 'e': 0.05669892657984691}",30,17,21.53389304821366,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.01, 'e': 0.056134762834133725}",20,14,11.863781614123651,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.01, 'e': 0.05557621261148306}",25,7,33.95714401469126,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.01, 'e': 0.05502322005640723}",20,0,-10.576842254276368,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
291,False,"{'a': 0.01, 'e': 0.05447572986918986}",30,4,41.06968465197597,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.01, 'e': 0.05393368730035602}",20,5,29.323806638309513,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.01, 'e': 0.05339703814519708}",25,7,33.07859224064809,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.01, 'e': 0.05286572873835037}",25,11,25.523166681841765,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.01, 'e': 0.05233970594843238}",20,10,19.798563845428383,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.01, 'e': 0.05181891717272583}",20,5,25.508819911191978,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.01, 'e': 0.051303310331919115}",20,11,10.625538181852011,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.01, 'e': 0.0507928338648985}",20,9,15.63605219614187,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.01, 'e': 0.050287436723591865}",20,12,17.368030603787076,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.01, 'e': 0.049787068367863944}",20,5,18.651731239028088,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
301,False,"{'a': 0.01, 'e': 0.04929167876046214}",25,15,16.882979286381637,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.01, 'e': 0.04880121836201296}",30,0,-17.7450940901067,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",1
303,False,"{'a': 0.01, 'e': 0.04831563812606777}",35,8,46.8821668857974,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.01, 'e': 0.04783488949419836}",20,3,27.727719956270292,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
